0: 1151,751,408,558,597,496,540
115: 870,1056,770,67,161,390
116: 1018,620,729,332,295,392
117: 885,826,477,726
118: 1024,330,916,917,284,158
119: 1076,266,1151,408,341,761
120: 880,239,253,768,545,192
121: 1165,948,1089,8,653
122: 885,826,599,20,216,475
123: 898,169,891,516,397,159,490,499,207
124: 606,771,801,95
125: 1140,271,805,362,949
126: 439,896,593,768,192,1210
127: 349,962,397,139,693,1169
128: 130,522,336,1001,366,935,687
129: 52,966,1083,1172,243,697
130: 128,1078,522,336,698,687
131: 954,1021,904,198,735,564
132: 780,378,635,707
133: 671,670,1053,714,385,293
134: 307,1155,583,803,649
135: 421,422,308
136: 655,652,541
137: 861,1068,335,906,982,999
138: 477,937,539,536
139: 127,397,693,92,407,973
140: 142,368,585,364,197,269
141: 1137,894,1042,500,502
142: 368,140,983,343,1122,269
143: 46,872,763,85,28
144: 626,216,353,429,475,721,950
145: 400,203,187,970,442,1019
146: 208,717,645,723,684,1065
147: 640,701,1034,993,1185,87
148: 851,259,39,387
149: 247,1049,1100,527,314,773
150: 76,480,949,322,1080,964
151: 72,153,1118,820,1150
152: 102,312,910,879,791,464
153: 107,1084,1138,1118,1150,151
154: 668,306,503,875,562
155: 615,72,820,989,105,860
156: 1189,1023,334,998,720,198
157: 177,382,594,248,286
158: 451,938,118,916,284,927
159: 218,490,499,207,427,349,397,169,123
160: 742,657,74,587,715
161: 1081,201,67,814,115,390
162: 6,988,538,566,106,1011
163: 1088,9,447,410,54
164: 733,1027,1145,17,470,1046
165: 26,261,1111,598,831,520
166: 265,1188,93
167: 716,377,217,215,607,430
168: 380,69,648,497,578,728
169: 898,960,123,397,159,407,171
170: 676,784,932,1158,32
171: 407,973,898,960,169,245,621,1194
172: 856,329,716,377,6,21,566
173: 450,391,839,1145,401,827
174: 776,662,111
175: 515,1062,346,943,924,405
176: 90,222,756,91,739,775,1014,573
177: 157,382,664,486,453
178: 430,667,831,326,520,458
179: 546,785,327,1170,323,778
180: 1112,223,974,627,798,1079
181: 1085,30,31,559,981,782
182: 660,394,1067,1011,824,1161
183: 665,563,425
184: 1197,387,851,18,399
185: 196,535,415,886
186: 1055,961,229,254,652,830
187: 493,695,384,970,145,203
188: 297,55,19,79,1153,794
189: 895,1195,668,306,857
190: 400,203,259,39,921
191: 547,434,1096,373,101,569
192: 1210,342,768,120,253,126
193: 369,862,1074,785,327
194: 534,439,507,99,1024,330
195: 947,199,796,53,231,1045
196: 535,185,237,682,1146
197: 600,364,585,140,38,1175
198: 904,720,156,131,954
199: 195,947,796,817,465,592
200: 1005,1113,56,491,976,766
201: 1081,876,161,428,287,390
202: 1079,388,423,449,1031,466
203: 145,190,400,187,493
204: 816,579,1044,634,1101,317
205: 590,792,354,389,653,863,926
206: 644,454,333,1004,754,463
207: 159,490,499,10,13,252,123,516
208: 146,717,1128,275,1001,1065
209: 718,990,769,953,256
210: 1013,1102,789,661,1109,272
211: 1025,680,296,604,484,619
212: 283,354,617,526,702,304
213: 283,617,548,1178
214: 221,627,91,222,508,460,573
215: 663,607,813,167,716,856
216: 626,673,144,719,122,885,475
217: 873,326,607,435,430,167
218: 159,499,427,349
219: 793,385,305,679,469,611
220: 351,318,361,442,1019,7
221: 974,627,214,91,692,749
222: 90,176,214,91,508,573
223: 1112,71,180,244,519,449,1079
224: 568,517,810,767,50,233
225: 936,550,527,345,773,1185,87
226: 807,833,65,33,1121
227: 843,683,36,835,339,714
228: 1173,420,267,709
229: 186,652,68,797,830,655,864
230: 827,959,811,1038,1076
231: 53,481,903,195,796
232: 100,972,114,29,424
233: 50,235,568,224,24,73,56
234: 1136,429,475,20,914,1104
235: 50,233,303,1113,73,56
236: 257,249,15,872,476,1131
237: 196,535,682,841
238: 42,242,1098,49,501,1057,310
239: 120,880,1208,1033,545,765
240: 626,673,489,912,950,544
241: 562,871,386,1130,956,647
242: 42,238,1098,250,825,934
243: 578,1172,52,129,755,274
244: 432,324,519,14,71,223
245: 1166,621,82,561,171,973
246: 669,95,984,606,63
247: 149,1049,823,1100,1066,1125
248: 594,850,664,781,262,157
249: 236,257,622,564,1006,476
250: 825,985,888,882,934,242
251: 302,1094,978,899,836,567
252: 10,1103,13,1040,321,499,207
253: 120,880,868,192,342,879
254: 186,961,1125,1100,830
255: 59,263,759,53,481,513
256: 953,5,718,209,320,650
257: 236,249,622,678,84,15,847
258: 1133,952,1075,1191,298,350,514
259: 190,400,39,379,387,148
260: 357,558,597,1170,1095,440,778
261: 26,165,112,520
262: 781,588,602,409,664,248
263: 59,678,255,759,713,628
264: 927,980,1135,451,688
265: 166,293,670,1050
266: 119,1076,381,1038,783,1151
267: 732,1152,560,228,709
268: 1147,595,83,944,574,791
269: 846,725,142,140,343,364,395
270: 360,666,939,1098,49
271: 531,125,480,949,902
272: 22,1109,1169,210,1102,962
273: 1061,471,565,438
274: 1063,755,1136,721,52,243
275: 1033,1001,366,1065,208,414
276: 320,869,1039,718
277: 379,1197,1019,318
278: 374,574,791,102,940
279: 64,406,383,416,96,576
280: 932,646,1073,1175,676
281: 494,61,380,69,450,391
282: 506,445,369,979,881,859
283: 212,354,617,213,389
284: 1085,30,118,917,158,927
285: 1071,446,356,832,457,770,551
286: 999,1184,157,382
287: 1093,390,443,201,428,722
288: 705,934,1054,42,1090,542,310
289: 363,838,741,111,752
290: 6,988,344,377,492,951
291: 338,322,902,958
292: 983,343,925,804,1013,725
293: 265,133,670,1050,385
294: 433,1052,347,618,1012
295: 392,332,116,1182
296: 604,732,211,619
297: 188,686,991,1044,55,1153
298: 774,350,1077,258,514
299: 549,914,1009,748
300: 1167,993,1060,311
301: 81,922,1176,588,731
302: 251,1094,978,802
303: 50,235,877,89,51,1113
304: 792,702,351,411,212,354
305: 758,1053,25,679,219,385
306: 154,668,562,871,189,857
307: 134,1155,438,649,425,1061
308: 81,135,421
309: 86,899,836,842
310: 501,288,42,238,992,1090
311: 577,993,1034,300
312: 152,879,727,342,31,464
313: 636,474,975,1010,509,433
314: 68,1209,830,149,1100,527,345,773
315: 968,900,436,913
316: 980,782,1135,833,65,495
317: 1101,1190,816,204,98,396
318: 351,411,220,1019,277
319: 72,422,570
320: 276,718,256,650
321: 423,1134,1040,1042,1103,252
322: 150,480,902,1080,1143,291,338
323: 718,990,778,179,546,869
324: 432,244,1015,14,703,71
325: 856,329,658,813,479,705,1054
326: 831,873,217,178,430
327: 179,785,1074,193,1170
328: 412,781,1087,554,850
329: 856,325,172,705,21
330: 1024,118,917,194,439,593
331: 992,532,403,356,1142,398
332: 376,729,116,1182,295
333: 454,206,1002,463,99,909
334: 953,5,998,156,954,942
335: 105,453,906,382,137,999
336: 128,130,1028,698,687,591
337: 1082,436,1207,468,657,730
338: 291,322,902,1143
339: 758,1053,714,843,1006,227
340: 589,512,1164,1184,1119,1095,440
341: 1106,761,878,119,408,58
342: 192,727,1210,253,312,879
343: 983,292,142,269,725
344: 430,667,377,492,290
345: 773,1060,1185,225,1209,314,694
346: 739,775,1016,943,175,515
347: 918,618,294,1012,534,896
348: 753,498,358,586,677
349: 127,397,1169,427,159,218,499
350: 298,774,258,952,1072,876
351: 411,318,220,702,7,304
352: 466,632,675,643,717,645,1124
353: 626,144,429,721,950,724,557
354: 212,283,389,304,792,205
355: 40,685,1141,639,360,834
356: 501,832,992,331,398,446,285
357: 260,558,597,990,778,1000,769
358: 103,44,586,348
359: 920,594,704,862
360: 834,666,270,40,355,1098
361: 572,587,715,442,7,220
362: 857,805,1195,949,125
363: 289,662,1178,111
364: 600,197,395,140,269
365: 1118
366: 275,1033,1001,128,1208,935
367: 415,708,668,601,787,895
368: 142,567,585,140,978,1122
369: 282,506,445,193,862
370: 723,371,684,10,891,516
371: 723,370,891,821,509,840,812
372: 487,448,681,1154,83
373: 547,191,569,749,91,90
374: 574,278,47,908,940,1205
375: 753,498,858,86,836,1094
376: 828,729,332,1121,483,635,1182
377: 167,716,430,344,172,290,6
378: 1058,483,635,1159,132,780,707
379: 1197,387,277,400,259
380: 69,648,168,281,1027,391
381: 37,1037,1038,512,783,266
382: 157,177,335,453,286,999
383: 1,915,605,711,64,279,96
384: 74,1041,48,187,695,970
385: 219,1050,793,305,1053,133,293
386: 822,1130,241,1066,647,1125
387: 184,379,1197,259,851,148
388: 798,202,1079,449,460,1047,466,632
389: 283,354,205,838,863
390: 1093,287,201,161,1056,115
391: 173,450,839,380,281,1027,1145
392: 295,60,116,1018
393: 524,612,854,108,888
394: 182,660,1011,674,106,403
395: 600,364,269,846,919,523
396: 662,1178,98,1190,317
397: 127,349,139,159,407,169,123
398: 1142,890,331,356,446,41
399: 78,184,851
400: 145,190,203,259,379
401: 827,848,1145,173,470,955
402: 1036,613,728,1172,69,61
403: 532,331,674,660,394,1142
404: 1080,1192,505,472
405: 845,924,943,175,1062,1126
406: 64,279,487,448,576,1199
407: 171,973,397,139,92,169
408: 1151,0,119,341,58,496
409: 664,570,421,422,262,602
410: 625,54,447,163,887,1070
411: 351,318,304,792,874
412: 94,979,328,704,554,506
413: 1035,1153,911,908,1205,79
414: 840,45,275,1033,1065,765
415: 367,708,886,185
416: 1207,642,96,468,576,745,279
417: 1064,556,911,1144,1035,1108
418: 539,656,771
419: 1116,951,988,538,837
420: 518,561,228,631,709
421: 135,422,81,308,409,602
422: 135,421,319,409,570
423: 449,1134,321,1042,202,1103,1031
424: 928,795,29,965,232,114
425: 563,649,183,665,438,307
426: 1191,456,1063,461,755,1075,497
427: 1040,894,22,1169,349,159,218,499
428: 774,876,201,287,691,722
429: 1136,234,475,721,144,353
430: 178,667,344,326,217,167,377
431: 700,575,1135,640,688,610
432: 244,324,519,500,703,1042,1134
433: 819,1052,294,313,975,1010,618
434: 547,191,1096,986,1046,654
435: 690,607,583,803,873,217
436: 1082,337,572,730,315
437: 537,1009,748,467,1084,806
438: 665,565,425,273,1061,307
439: 534,194,126,896,593,330
440: 1095,340,589,751,260,597
441: 808,1051,605,1168,488
442: 970,715,1019,361,145,220
443: 1093,287,692,722,1112,974
444: 1144,1199,576,1082,1059
445: 282,369,881,785,994,852
446: 1071,285,41,356,832,890,398,551
447: 1088,163,410,663,690,887
448: 372,487,1154,64,406,1064,1199
449: 423,1134,519,223,202,1079,388
450: 173,391,839,1186,494,281
451: 696,158,938,264,927,688
452: 815,700,1159,780
453: 105,335,615,486,177,382
454: 510,644,206,333,1002
455: 1149,929,1165,1089,710
456: 426,1191,648,497,35,733
457: 67,1069,832,1057,285,770
458: 112,520,178,667,103,511
459: 679,109,469,1203,706,28
460: 508,810,1047,627,214,798,388
461: 1063,557,2,1075,426
462: 818,616,965,996,945
463: 867,754,584,206,333,909
464: 981,529,102,152,312,31
465: 808,907,817,199,592,1051
466: 632,352,675,202,388,1047,1031
467: 748,437,966,806,1104
468: 1207,416,642,742,603,657,337
469: 459,679,109,611,219,793,48
470: 986,955,1046,164,1145,401
471: 273,1061,1111,26
472: 505,1143,404
473: 863,926,741,1091,905
474: 636,313,1194,821,509,812
475: 234,429,122,20,144,216
476: 25,1131,236,249,1006,758
477: 138,726,937,117
478: 533,1176
479: 108,882,658,1070,325,1054
480: 150,76,949,322,902,271
481: 53,231,865,513,897,255
482: 580,502,764,88,1105,1137
483: 378,1058,635,376,1121
484: 619,211,1179,100
485: 1166,621,636,975,521
486: 664,570,615,453,177
487: 372,448,681,1032,1,64,406
488: 757,711,441,760,1051,605
489: 659,744,1099,240,673,912
490: 159,499,207,123
491: 596,855,976,200,772,766
492: 608,511,951,667,344,290
493: 187,963,695,1188,203
494: 982,61,281,861,450,1186
495: 575,1159,316,1135,65,1058
496: 58,641,0,408,540
497: 648,168,755,578,426,456
498: 753,348,375,677,858
499: 159,218,490,207,427,1040,349,252,123
500: 502,703,432,141,1042,1134
501: 356,832,1057,310,238,992
502: 482,580,500,764,703,141,1137
503: 889,875,154
504: 85,633,706,75,3,603
505: 1143,472,1080,404
506: 282,369,862,412,979,704
507: 1012,1002,534,194,99
508: 460,810,214,222,767,573
509: 840,45,812,821,371,313,474,1010
510: 644,454,945,818,1052,1002
511: 608,492,458,667,103,586
512: 340,589,1164,783,37,381
513: 865,481,1106,878,255,759
514: 853,35,258,1191,298,1077
515: 175,89,1062,346,775,1014
516: 898,891,123,207,10,370
517: 568,224,643,810,1047,632
518: 420,1129,561,92,973
519: 432,244,223,449,1134,1079
520: 112,458,165,261,831,178
521: 818,616,485,1166,975,819
522: 128,130,1078,1128,740,1001
523: 672,1173,395,1117,846,919
524: 393,612,969,625,1070,108
525: 971,1107,995,1078,110,698,849
526: 702,913,968,4,212,617
527: 936,225,149,1049,314,773
528: 669,984,738,1022
529: 981,11,464,102,609,940
530: 928,114,750,23,1130
531: 271,43,902,958,946
532: 992,331,1090,542,403,674
533: 478,1176,731
534: 194,439,896,347,507,1012
535: 196,185,237,886
536: 539,656,138,937,1086,659
537: 1009,437,107,1084
538: 988,162,419,1123,1011
539: 418,656,536,138
540: 1023,1000,0,558,641,496
541: 946,43,652,136
542: 532,1090,705,288,674,21
543: 625,54,893,738,669,969
544: 104,950,724,240,912,1196
545: 918,768,743,765,120,239
546: 179,785,1039,852,323,869
547: 191,434,373,654,90,756
548: 4,1204,98,617,213,1178
549: 20,299,914,599
550: 936,225,1110,696,938,87
551: 870,770,1071,446,285,1015
552: 977,687,868,1147,591,910
553: 809,802,571,983,925,1122
554: 1181,412,94,328
555: 884,841,699
556: 1064,911,417,1154,944,47
557: 1063,461,353,721,2,950,724
558: 260,357,597,0,540,1000
559: 981,11,181,782,807,833
560: 672,784,32,732,267
561: 420,518,973,631,245,82
562: 750,241,871,875,154,306
563: 746,649,425,183
564: 843,735,1006,904,131,249,622
565: 892,665,438,273
566: 21,106,172,6,162
567: 368,585,899,251,978,736
568: 224,643,517,233,24,73
569: 191,1096,373,101,12,749
570: 409,664,486,422,319
571: 553,809,34,80,925
572: 587,730,361,436,913,7
573: 1014,767,877,214,176,222,508
574: 944,374,278,791,47,268
575: 700,431,495,1159,1135
576: 1207,416,96,406,279,444,1082
577: 311,610,1034,624
578: 728,1172,243,755,168,497
579: 816,57,204,883,991,1044
580: 482,502,764,703,1071,1015
581: 1114,1127,746
582: 932,646,1158,629
583: 134,1155,803,598,873,435
584: 867,754,463,822,1066,823
585: 368,567,140,736,38,197
586: 358,103,608,511,348,677
587: 572,730,361,160,657,715
588: 781,262,602,81,301,1087
589: 340,512,783,440,751
590: 792,205,8,874,653
591: 1147,595,336,1028,552,687
592: 760,1051,957,947,199,465
593: 439,126,727,1210,330,917
594: 850,248,157,359
595: 1147,268,689,83,591,1028
596: 491,855,976,772,1174,1168
597: 260,357,558,440,751,0
598: 831,873,1111,1155,583,165
599: 122,826,20,549
600: 364,197,395,1175,676,919
601: 1193,787,997,367,895
602: 262,588,421,81,409
603: 742,75,504,633,642,468
604: 27,296,747,211,680
605: 383,915,1168,441,488,711
606: 124,801,95,246,63,790
607: 215,663,690,435,217,167
608: 511,492,951,586,677,837
609: 908,19,940,529,11,762
610: 640,1034,700,431,577,624
611: 469,219,793,48,963,695
612: 393,524,969,63,790,854
613: 1036,989,697,402,1172,860
614: 1008,1120,804,1117,725
615: 155,72,486,105,453
616: 521,818,462,941,1166,996
617: 212,283,213,526,548,4
618: 918,743,347,1010,433,294
619: 484,1029,296,211
620: 116,634,1018,686,866,729
621: 485,245,1166,171,636,1194
622: 257,249,904,84,564
623: 710,651,800
624: 815,610,700,577
625: 410,543,54,524,969,1070
626: 240,673,144,216,353,719,950
627: 221,974,214,180,798,460
628: 84,720,713,1189,678,263
629: 699,582,1158
630: 1144,1059,1020,1108,900
631: 709,941,1007,420,561,82
632: 466,352,675,388,1047,643,517
633: 504,706,109,742,603,1041
634: 1018,620,686,1044,204,1101
635: 378,483,376,132,1182,707
636: 313,474,975,1194,485,621
637: 805,956,647,1140,961
638: 1092,933,1115,952,1072,1180
639: 1097,355,1141,834,933
640: 147,688,701,610,1034,431
641: 58,496,713,1189,1023,540
642: 1207,416,468,745,75,603
643: 568,517,632,352,1124,24
644: 510,454,945,206,1004,795
645: 146,717,901,352,675,684
646: 932,280,582,1073
647: 1125,241,386,637,956
648: 380,168,497,456,35,733,1027
649: 563,746,425,1127,134,307
650: 320,5,256,1017
651: 623,710,948,1089,905
652: 1055,186,229,541,136,655
653: 926,590,205,8,121,948
654: 986,923,547,434,756,739
655: 136,229,652,864
656: 418,539,536,1086,1162
657: 742,160,468,337,587,730
658: 813,887,1070,479,325
659: 489,744,1099,536,937,1086
660: 182,394,1067,403,1142
661: 88,931,789,1171,210,1109
662: 1178,396,363,174,776
663: 215,690,607,447,813,887
664: 409,570,486,262,177,248
665: 183,892,565,438,425
666: 360,834,270,939,1092
667: 178,430,344,458,511,492
668: 154,306,367,189,895
669: 528,246,984,738,543,969,63
670: 133,671,265,293
671: 133,670,835,714
672: 560,523,1173,784,919
673: 240,626,216,719,489,744
674: 21,106,532,542,403,394
675: 466,632,352,901,1031,645
676: 170,784,919,1175,600,932,280
677: 837,858,586,608,498,348
678: 59,263,84,628,847,257
679: 459,469,1203,25,305,219
680: 211,1025,747,604,682,884
681: 372,487,1139,1032,689,83
682: 884,841,1025,680,196,237,1146
683: 843,735,227,1021,1183,36
684: 723,370,10,901,146,645
685: 40,355,1141,97,788,737
686: 297,1044,55,866,634,620
687: 552,935,977,128,130,336,591
688: 640,701,451,696,264,431
689: 595,83,1028,1139,681
690: 663,607,435,803,1088,447
691: 12,722,774,1077,428,101
692: 12,722,749,443,221,974
693: 127,962,139,1008,1120,92
694: 68,1209,797,345,1060,77,1167
695: 187,963,493,611,384,48
696: 451,938,550,87,688,701
697: 989,613,129,1083,734,1172
698: 1028,849,525,130,1078,336
699: 629,747,555,884
700: 431,575,1159,610,452,624,815
701: 147,640,688,696,87
702: 526,913,7,351,212,304
703: 580,500,502,432,324,1015
704: 412,850,359,506,862
705: 288,1054,325,329,21,542
706: 504,85,633,28,459,109
707: 1182,378,635,132
708: 415,367,886,787
709: 631,1007,228,420,267,1152
710: 623,651,1089,455,929,800
711: 745,488,757,383,605,96
712: 968,900,1020,883,4,1204
713: 58,641,1189,263,759,628
714: 339,1053,227,835,133,671
715: 970,442,160,74,587,361
716: 167,377,215,856,172,6
717: 146,208,645,352,1128,1124
718: 323,209,320,276,869,256
719: 626,673,216,726,885,744
720: 904,84,628,198,156,1189
721: 1136,429,144,353,1063,557,274
722: 12,692,691,428,287,443
723: 370,371,684,891,146,840,1065
724: 2,104,950,544,353,557
725: 269,1117,846,292,343,804,614
726: 477,937,117,885,744,719
727: 1210,342,593,312,1085,31
728: 578,1172,402,69,168
729: 828,866,376,332,116,620
730: 572,587,657,337,436
731: 1087,301,533,1176
732: 267,1152,560,296
733: 164,1027,456,648,17,35
734: 820,1150,1083,989,697
735: 843,683,564,131,1021
736: 842,16,899,567,585,38
737: 825,985,779,97,40,685
738: 893,1022,528,669,543
739: 346,775,1016,654,923,176,756
740: 1128,1124,24,971,1078,522
741: 289,838,473,863,752,1091
742: 160,603,657,633,468,74,1041
743: 918,545,765,618,1010,45
744: 489,659,726,937,673,719
745: 757,75,711,416,642,96
746: 563,649,581,1127
747: 699,27,604,884,680
748: 1009,437,467,299,914,1104
749: 12,692,373,569,221,91
750: 562,875,972,114,530
751: 1151,0,589,783,440,597
752: 111,289,741,1091
753: 498,348,375,86
754: 584,463,1004,206,23,822
755: 1063,274,578,243,426,497
756: 90,176,547,654,739,775
757: 745,488,75,711,3,760
758: 305,339,1053,1006,25,476
759: 263,255,878,58,713,513
760: 592,1051,957,763,488,757,3
761: 1106,341,119,1076,70,1177
762: 33,794,11,609,19,807
763: 46,143,760,957,3,85
764: 482,580,502,1071,41,1105
765: 743,545,45,414,1033,239
766: 907,772,1005,200,930,491
767: 573,877,508,810,224,50
768: 918,545,120,126,896,192
769: 953,998,357,990,209,1000
770: 870,115,551,67,457,285
771: 124,801,418
772: 808,907,766,596,491,1168
773: 345,149,225,527,1209,314
774: 298,350,1077,428,876,691
775: 739,346,176,756,1014,515
776: 174,662,113
777: 113,1190,60
778: 990,323,1170,179,260,357
779: 854,1156,97,985,737
780: 132,1159,378,452
781: 262,588,1087,850,248,328
782: 316,980,181,30,559,833
783: 589,512,381,266,1151,751
784: 170,676,919,560,672,32
785: 179,546,327,445,193,852
786: 99,1132,909,1024,916,1110
787: 601,367,708
788: 97,1086,829,1099,685,1141
789: 1171,34,661,1013,210
790: 854,1156,606,801,612,63
791: 574,278,1147,268,102,152,910
792: 590,304,205,411,354,874
793: 219,1050,385,469,611,963
794: 1160,33,762,19,79,188,55
795: 1004,928,424,965,644,945
796: 195,199,903,231,967,817
797: 68,1209,694,830,229,77,864
798: 1079,388,180,627,460,1047
799: 15,847,1045,947,957,46,872
800: 929,623,710
801: 124,606,771,790,1162
802: 553,809,302,1122
803: 134,583,1088,690,435
804: 1013,1102,292,725,614,1008
805: 637,857,956,362,1140,125
806: 966,1083,437,467,1084,1150
807: 226,833,559,11,33,762
808: 907,441,465,772,1051,1168
809: 553,802,571,1157,80
810: 508,460,1047,767,224,517
811: 839,1186,1037,1038,827,230
812: 509,840,821,371,474
813: 658,887,215,663,856,325
814: 67,1069,939,1081,1180,161
815: 452,624,700
816: 57,579,204,98,317
817: 930,967,199,796,907,465
818: 521,462,616,819,1052,510,945
819: 433,1052,975,521,818
820: 734,155,72,151,989
821: 898,891,371,474,1194,509,840,812
822: 23,386,1130,754,584,1066
823: 247,1049,867,584,1066
824: 182,1011,1161,1123,1157,80
825: 250,985,737,40,242,1098
826: 117,122,885,599
827: 401,848,959,230,173,839,811
828: 866,376,729,1121,1160
829: 97,1086,788,1162,1156
830: 68,314,797,1100,186,229,254
831: 598,873,326,165,520,178
832: 356,501,1057,457,446,285
833: 807,226,65,559,316,782
834: 360,666,355,639,1092,933
835: 36,227,714,671
836: 86,309,899,375,251
837: 677,858,608,951,419
838: 289,741,389,863
839: 173,450,391,1186,811,827
840: 509,45,812,414,821,723,371,1065
841: 555,682,884,237
842: 736,16,309,899
843: 683,735,564,1006,227,339
844: 1183,1017,1021,942
845: 924,897,903,405,1126,967
846: 269,1117,725,395,523
847: 15,799,1045,59,678,257
848: 401,827,959,955,1148,1163
849: 110,1028,698,1139,525
850: 594,248,781,328,704
851: 148,184,387,399
852: 994,1039,445,546,785
853: 17,514,35,1077
854: 779,790,1156,393,612
855: 596,491,976,995,1174,1043
856: 325,329,172,215,813,716
857: 805,956,362,306,871,189,1195
858: 677,837,498,375,1094
859: 881,979,62,282
860: 105,906,155,1036,989,613
861: 137,1068,494,982,1186
862: 506,193,369,704,359,920
863: 473,926,389,205,838,741
864: 77,229,797,655
865: 481,513,1026,1106,897
866: 828,729,1160,686,55,620
867: 584,463,1132,909,1049,823
868: 552,977,880,253,910,879
869: 276,546,1039,718,323
870: 1056,115,770,14,551,1015
871: 562,241,306,857,956
872: 46,143,15,799,236,1131
873: 598,831,326,217,583,435
874: 18,411,1197,590,792
875: 972,503,889,154,562,750
876: 1072,1081,201,774,350,428
877: 1014,767,573,89,50,303
878: 1106,341,58,513,759
879: 152,312,910,253,868,342
880: 120,239,253,1208,935,977,868
881: 859,282,445,994
882: 108,888,479,250,934,1054
883: 1020,712,57,579,1204
884: 555,682,841,699,747,680
885: 117,122,826,726,216,719
886: 415,708,535,185
887: 658,813,1070,447,410,663
888: 108,882,393,250,985
889: 503,1179,100,875,972
890: 987,1142,398,446,41,1105
891: 898,123,516,821,723,370,371
892: 665,565
893: 1003,738,1022,9,543,54
894: 141,427,1040,1137,1042,22
895: 189,1195,367,668,601
896: 534,439,126,918,768,347
897: 845,924,903,1026,865,481
898: 960,169,891,123,516,821,171,1194
899: 309,836,251,736,842,567
900: 712,968,315,630,1059,1020
901: 10,1103,1031,675,684,645
902: 480,322,271,531,291,338,958
903: 845,897,231,967,796
904: 84,720,198,131,622,564
905: 473,926,948,651
906: 105,335,860,1036,982,137
907: 808,465,772,766,930,817
908: 609,19,940,1205,79,374,413
909: 786,99,1132,333,867,463
910: 152,879,552,868,1147,791
911: 556,417,47,1205,1035,413
912: 1196,1097,489,1099,240,544
913: 526,702,7,572,968,315
914: 20,299,549,748,234,1104
915: 1,383,605,1168,1174,64
916: 1024,118,786,1110,158,938
917: 330,118,593,1085,284
918: 768,743,545,347,618,896
919: 676,784,600,395,672,523
